# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: C:\Users\21lw4\Documents\Lab\CPU_pins.csv
# Generated on: Mon Apr 01 12:07:15 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
hexDisplays[15],Output,,,,,,,,,,,,,,,,,
hexDisplays[14],Output,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[13],Output,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[12],Output,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[11],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[10],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[9],Output,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[8],Output,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[7],Output,,,,,,,,,,,,,,,,,
hexDisplays[6],Output,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[5],Output,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[4],Output,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[3],Output,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[2],Output,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[1],Output,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
hexDisplays[0],Output,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
resetButton,Input,PIN_U7,3A,B3A_N0,,,,,,,,,,,,,,
run,Output,PIN_AA2,2A,B2A_N0,,,,,,,,,,,,,,
stopButton,Input,PIN_W9,3A,B3A_N0,,,,,,,,,,,,,,
switches[7],Input,PIN_AA13,4A,B4A_N0,,,,,,,,,,,,,,
switches[6],Input,PIN_aa14,4A,B4A_N0,,,,,,,,,,,,,,
switches[5],Input,PIN_AB15,4A,B4A_N0,,,,,,,,,,,,,,
switches[4],Input,PIN_AA15,4A,B4A_N0,,,,,,,,,,,,,,
switches[3],Input,PIN_T12,4A,B4A_N0,,,,,,,,,,,,,,
switches[2],Input,PIN_T13,4A,B4A_N0,,,,,,,,,,,,,,
switches[1],Input,PIN_V13,4A,B4A_N0,,,,,,,,,,,,,,
switches[0],Input,PIN_U13,4A,B4A_N0,,,,,,,,,,,,,,
sysclock,Input,PIN_M9,3B,B3B_N0,,,,,,,,,,,,,,
